asset,slot_key,slot_start_ts,slot_end_ts,slot_start_utc,polymarket_resolution,kalshi_resolution,polymarket_settlement_value_usd,kalshi_settlement_value_usd,source,outcome_mismatch,fatal_poly_up_kalshi_no,fatal_poly_down_kalshi_yes,polymarket_benchmark_conflict,kalshi_benchmark_conflict
bnb,bnb:1784997000000,1784997000000,1784997900000,2026-07-25T16:30:00Z,UP,YES,,567.35,official-venue-resolution,false,false,false,,
btc,btc:1784997000000,1784997000000,1784997900000,2026-07-25T16:30:00Z,UP,YES,,64140.38,official-venue-resolution,false,false,false,,
doge,doge:1784997000000,1784997000000,1784997900000,2026-07-25T16:30:00Z,UP,YES,,0.0719828,official-venue-resolution,false,false,false,,
eth,eth:1784997000000,1784997000000,1784997900000,2026-07-25T16:30:00Z,UP,YES,,1867.28,official-venue-resolution,false,false,false,,
hype,hype:1784997000000,1784997000000,1784997900000,2026-07-25T16:30:00Z,UP,YES,,57.8495,official-venue-resolution,false,false,false,,
sol,sol:1784997000000,1784997000000,1784997900000,2026-07-25T16:30:00Z,UP,YES,,74.2592,official-venue-resolution,false,false,false,,
xrp,xrp:1784997000000,1784997000000,1784997900000,2026-07-25T16:30:00Z,UP,YES,,1.1008,official-venue-resolution,false,false,false,,
bnb,bnb:1784997900000,1784997900000,1784998800000,2026-07-25T16:45:00Z,DOWN,NO,,567.28,official-venue-resolution,false,false,false,,
btc,btc:1784997900000,1784997900000,1784998800000,2026-07-25T16:45:00Z,UP,YES,,64148.63,official-venue-resolution,false,false,false,,
doge,doge:1784997900000,1784997900000,1784998800000,2026-07-25T16:45:00Z,UP,YES,,0.0720772,official-venue-resolution,false,false,false,,
eth,eth:1784997900000,1784997900000,1784998800000,2026-07-25T16:45:00Z,DOWN,NO,,1866.47,official-venue-resolution,false,false,false,,
hype,hype:1784997900000,1784997900000,1784998800000,2026-07-25T16:45:00Z,UP,YES,,57.9002,official-venue-resolution,false,false,false,,
sol,sol:1784997900000,1784997900000,1784998800000,2026-07-25T16:45:00Z,DOWN,YES,,74.2682,official-venue-resolution,true,true,false,,
xrp,xrp:1784997900000,1784997900000,1784998800000,2026-07-25T16:45:00Z,UP,YES,,1.1018,official-venue-resolution,false,false,false,,
bnb,bnb:1784998800000,1784998800000,1784999700000,2026-07-25T17:00:00Z,DOWN,NO,,566.9,official-venue-resolution,false,false,false,,
btc,btc:1784998800000,1784998800000,1784999700000,2026-07-25T17:00:00Z,DOWN,NO,,64146.03,official-venue-resolution,false,false,false,,
doge,doge:1784998800000,1784998800000,1784999700000,2026-07-25T17:00:00Z,UP,YES,,0.0722296,official-venue-resolution,false,false,false,,
eth,eth:1784998800000,1784998800000,1784999700000,2026-07-25T17:00:00Z,UP,YES,,1867.34,official-venue-resolution,false,false,false,,
hype,hype:1784998800000,1784998800000,1784999700000,2026-07-25T17:00:00Z,DOWN,NO,,57.8373,official-venue-resolution,false,false,false,,
sol,sol:1784998800000,1784998800000,1784999700000,2026-07-25T17:00:00Z,UP,YES,,74.2778,official-venue-resolution,false,false,false,,
xrp,xrp:1784998800000,1784998800000,1784999700000,2026-07-25T17:00:00Z,DOWN,NO,,1.1009,official-venue-resolution,false,false,false,,
bnb,bnb:1784999700000,1784999700000,1785000600000,2026-07-25T17:15:00Z,UP,YES,,567.72,official-venue-resolution,false,false,false,,
btc,btc:1784999700000,1784999700000,1785000600000,2026-07-25T17:15:00Z,UP,YES,,64209.96,official-venue-resolution,false,false,false,,
doge,doge:1784999700000,1784999700000,1785000600000,2026-07-25T17:15:00Z,UP,YES,,0.0725916,official-venue-resolution,false,false,false,,
eth,eth:1784999700000,1784999700000,1785000600000,2026-07-25T17:15:00Z,UP,YES,,1869.87,official-venue-resolution,false,false,false,,
hype,hype:1784999700000,1784999700000,1785000600000,2026-07-25T17:15:00Z,UP,YES,,58.0459,official-venue-resolution,false,false,false,,
sol,sol:1784999700000,1784999700000,1785000600000,2026-07-25T17:15:00Z,UP,YES,,74.4183,official-venue-resolution,false,false,false,,
xrp,xrp:1784999700000,1784999700000,1785000600000,2026-07-25T17:15:00Z,UP,YES,,1.1026,official-venue-resolution,false,false,false,,
